KOD	BENÄMNING	POANG
AB1101	Människa-datorinteraktion: användbarhet                                                                                 	7.5
AB1102	Interaktionsvisualisering                                                                                               	7.5
AB1103	Teknikstöd för lärande                                                                                                  	7.5
AB1104	Interaktion och design                                                                                                  	15
AB1201	Appliance design                                                                                                        	7.5
AB1202	Arbetsvetenskap med inriktning mot IT, III                                                                              	7.5
AB1203	Kollaborativt lärande med datorstöd                                                                                     	7.5
AB1204	Koncept och prototyp                                                                                                    	15
AB1301	Computer Supported Cooperative Work (CSCW)                                                                              	7.5
AB1302	Metod och reflektion III                                                                                                	7.5
AB1303	Arbetsvetenskap med inriktning mot IT, III                                                                              	7.5
AB1304	Innovativa gränssnitt                                                                                                   	7.5
AB1305	Kandidatarbete i arbetsvetenskap med inriktning mot IT                                                                  	15
AB1306	Kandidatarbete i arbetsvetenskap med inriktning mot IT                                                                  	30
AB1307	Metod och reflektion II                                                                                                 	7.5
AB1308	Verksamhetsteoretiska perspektiv på förändringar i organisationer                                                       	7.5
ABA001	Grundkurs i arbetsvetenskap på MDA                                                                                      	15
ABA002	Work Practice i organisationer                                                                                          	15
ABA003	Human Computer Interaction                                                                                              	7.5
ABA004	Yrkeskunnande och teknologi - introduktion                                                                              	7.5
ABA005	Teknikutveckling & användare: ur genusperspektiv                                                                        	15
ABA006	Lärararbete och dess nya former                                                                                         	7.5
ABA007	IT´s idehistoria i könsteoretiska perspektiv                                                                            	7.5
ABA008	IT i vardagen - användning och design                                                                                   	7.5
ABA009	Etnografi för systemutvecklare                                                                                          	7.5
ABA010	IT's idéhistoria                                                                                                        	7.5
ABA011	Work Practice                                                                                                           	7.5
ABA012	Projekt i digitala medier                                                                                               	15
ABA013	Ledarskap och människor i teknikkontext                                                                                 	7.5
ABA014	Teknikstöd för lärande                                                                                                  	7.5
ABA017	Introduktion till lärmiljö Femte Dimensionen                                                                            	7.5
ABA018	Usability/användarbarhet och design                                                                                     	7.5
ABA019	Participatory Design - Introduction to the Scandinavian Approach                                                        	7.5
ABA020	Everyday IT - use and design                                                                                            	7.5
ABA021	Arbetsvetenskap med inriktning mot IT                                                                                   	7.5
ABA022	Användarbarhet med betoning på handdatorer och webb-applikationer                                                       	7.5
ABA023	Interaktionsvisualisering                                                                                               	7.5
ABA024	Work Practice Project                                                                                                   	7.5
ABA025	Metod och reflektion I                                                                                                  	7.5
ABA026	Arbetsvetenskap och etnografiska metoder                                                                                	7.5
ABA027	Förändring i teori och praktik I                                                                                        	15
ABB001	Datorer och lärande                                                                                                     	30
ABB002	IT-fadderskap                                                                                                           	7.5
ABB003	Projektkurs i datorer och lärande på B-nivå                                                                             	7.5
ABB004	Teknikstöd för lärande                                                                                                  	15
ABB005	Design för Ubiquitous Computing                                                                                         	15
ABB006	Arbetsvetenskap med inriktnig mot IT, II                                                                                	7.5
ABB007	Metod och reflektion II                                                                                                 	7.5
ABB008	Förändring i organisationer                                                                                             	7.5
ABB009	Appliance Design                                                                                                        	7.5
ABB010	Kollaborativt lärande med datorstöd                                                                                     	7.5
ABB011	Etnografisk analys av teknik i användning                                                                               	7.5
ABB012	Projekt: koncept och prototyp                                                                                           	15
ABC001	IT's idéhistoria och könsteoretiska perspektiv                                                                          	7.5
ABC002	Kandidatarbete i MDA (10p/10p)                                                                                          	30
ABC003	Participatory Design                                                                                                    	7.5
ABC004	Yrkeskunnande och teknologi                                                                                             	7.5
ABC005	IT-design                                                                                                               	15
ABC006	Interaction Analysis; Conduct of Inquiry	7.5
ABC007	Kandidatarbete Arbetsvetenskap                                                                                          	30
ABC008	Kandidatarbete Arbetsvetenskap                                                                                          	15
ABC009	Educational Technology                                                                                                  	15
ABC010	Introduktion till Ubiquitous Computing                                                                                  	7.5
ABC011	CSCW (Computer Supported Cooperative Work)                                                                              	7.5
ABC012	Metod och reflektion III                                                                                                	7.5
ABD001	Magisterarbete i MDA (10p/10p)                                                                                          	30
ABD002	Theory and Practice of Fieldwork for System Development                                                                 	7.5
ABD003	Computer Supported Cooperative Work                                                                                     	15
ABD004	Magisterarbete i MDA - med inriktning mot arbetsvetenskap                                                               	30
ABD005	Fördjupningskurs i arbetsvetenskap på magisternivå                                                                      	7.5
ABD006	Fördjupningskurs i arbetsvetenskap på magisternivå                                                                      	15
ABD007	Computer Supported Cooperative Work                                                                                     	15
AFM201	Allmän forskningsmetodik                                                                                                	7.5
AI1101	Landskaps- och bebyggelsehistoria                                                                                       	7.5
AI1102	Form: introduktion                                                                                                      	7.5
AI1201	Form, landskap                                                                                                          	7.5
AIA001	Stadsbyggnadshistoria, Människa och miljö I                                                                             	4.5
AIA002	Husbyggnad I                                                                                                            	4.5
AIA003	Husbyggnad II                                                                                                           	4.5
AIA004	Redovisning och Form I                                                                                                  	12
AIA005	Stadsbyggnadshistoria, Människa och miljö II                                                                            	4.5
AIA006	Redovisning o, form II, datorstödd ritning o, modellering                                                               	3
AIA007	Redovisning och Form I, ritteknik och perspektiv                                                                        	3
AIA008	Redovisning och form I:3, Datorstödd presentation                                                                       	3
AIA009	Akvarell                                                                                                                	3
AIA010	Att måla staden - Akvarell som redskap för stadsanalys                                                                  	3
AIA011	Landskaps- och bebyggelsehistoria                                                                                       	7.5
AIA012	Teckning och målning                                                                                                    	7.5
AIA013	Att måla staden - Akvarell som redskap för stadsanalys                                                                  	4.5
AIA014	Planering och Förvaltning av kulturlandskapet - exemplet Blekinge                                                       	4.5
AIA015	Form, introduktion                                                                                                      	7.5
AIB001	Redovisning och Form II                                                                                                 	9
AIB002	Husbyggnad III                                                                                                          	4.5
AIB003	Färg och form                                                                                                           	7.5
AIB004	Form, landskap                                                                                                          	7.5
AIC001	Redovisning och Form III                                                                                                	6
AIC002	Redovisning och Form III                                                                                                	4.5
AIC003	Redovisning och Form IV                                                                                                 	3
AIC004	Redovisning och Form III, muntlig kommunikation                                                                         	3
AIC005	Redovisning och Form III, teckning/målning                                                                              	3
AIC006	Arkitektur                                                                                                              	7.5
AID001	Redovisning och Form IV                                                                                                 	4.5
AKU101	Grundläggande kurs inom Akupunktur                                                                                      	15
AKU201	Akupunktur, 11-15 poäng                                                                                                 	7.5
ANA001	Översiktskurs i Astronomi                                                                                               	7.5
ANA002	Astronomi, introduktionskurs                                                                                            	7.5
ANV101	ANESTESISJUKVÅRD 11-40 P                                                                                                	45
ANV201	Anestesi för sjuksköterskor                                                                                             	45
AOA002	Projektorganisation och arbetsvetenskap                                                                                 	7.5
AOA003	Projektorganisation och arbetsvetenskap                                                                                 	7.5
ARB102	Introduktion till arbetsvetenskap på MDA                                                                                	15
ARB103	IT-pedagogik                                                                                                            	7.5
ARB104	It och lärande                                                                                                          	7.5
ARB105	Yrkeskunnande och teknologi-introduktion                                                                                	7.5
ARB106	Bilden som digital konstruktion, en introduktion                                                                        	7.5
ARB107	Lärararbete och dess nya former                                                                                         	7.5
ARB108	Grundkurs i arbetsvetenskap på MDA                                                                                      	15
ARB109	Work Practice i organisationer                                                                                          	15
